period,city,買賣_棟數,買賣_坪數,拍賣_棟數,拍賣_坪數,繼承_棟數,繼承_坪數,贈與_棟數,贈與_坪數
101Q2,雲林縣,1003,51806.48,68,2999.74,211,9102.68,136,6423.18
101Q2,高雄市,11911,445670.97,423,12613.3,1347,47975.18,1072,36532.509999999995
101Q3,區域別總計,83453,2870480.86,2400,118238.51,11156,407280.82,10906,359613.51
101Q3,南投縣,654,30834.74,90,2915.4,198,10569.43,287,11186.880000000001
101Q3,嘉義市,829,32506.67,29,829.44,133,4298.34,132,4039.25
101Q3,嘉義縣,580,27136.9,44,821.31,153,6117.65,145,5142.139999999999
101Q3,基隆市,1608,39590.29,103,2338.22,230,6329.55,208,5181.639999999999
101Q3,宜蘭縣,1504,58820.2,41,1643.04,231,8826.24,185,8784.48
101Q3,屏東縣,1237,55597.24,87,3400.33,367,16444.72,244,9726.81
101Q3,彰化縣,1772,86211.96,57,3715.15,389,19913.44,300,13028.44
101Q3,新北市,17814,510462.69,264,17926.25,2008,58404.83,2340,56980.57
101Q3,新竹市,2285,140813.86,48,2014.2,195,6767.05,216,6883.8099999999995
101Q3,新竹縣,2886,100030.99,35,1378.71,146,8626.44,222,12394.67
101Q3,桃園市,11787,401153.2,357,26667.2,983,36070.29,1077,36200.83
101Q3,澎湖縣,68,3014.55,9,325.1,131,2596.02,50,1734.44
101Q3,臺中市,11956,413899.38,306,12456.13,1065,44752.08,1366,50428.17
101Q3,臺北市,10328,263842.17,170,5328.17,1997,56284.4,1710,40174.78
